muni_no,roll_no_txt,municipality,address,units,acres,du_per_acre,built,building_value,type,note
401,91846.000,401 - TOWN OF BEAUSEJOUR,153 JOYCE ST,53,5.46,9.7,2025,7712300,,
401,91849.000,401 - TOWN OF BEAUSEJOUR,161 JOYCE ST,42,4.38,9.6,2026,6222900,,
401,91845.000,401 - TOWN OF BEAUSEJOUR,156 fifth ST S,36,2.47,14.6,2025,5451600,,
401,91030.270,401 - TOWN OF BEAUSEJOUR,51 KAATZ DR,35,1.15,30.4,2021,4698200,,
401,91847.000,401 - TOWN OF BEAUSEJOUR,157 JOYCE ST,33,4.44,7.4,2025,4656600,,
401,90090.000,401 - TOWN OF BEAUSEJOUR,100 EVERGREEN ST,27,0.77,35.1,2025,4314800,,
401,78050.000,401 - TOWN OF BEAUSEJOUR,816 GERTRUDE AVE,22,0.9,24.4,2023,4426700,,
401,78600.000,401 - TOWN OF BEAUSEJOUR,70 FIRST ST S,4,0.27,14.8,2027,915700,,
165,161530.000,165 - RM OF RITCHOT,1 - 5 TOUROND CREEK DR,91,4.96,18.3,2023,15670300,mixed,already labelled
165,104092.000,165 - RM OF RITCHOT,511 MEADOWLARK BLVD,58,3.55,16.3,2016,8068900,row,already labelled
165,294940.000,165 - RM OF RITCHOT,1039 OLD PTH 59,36,3.53,10.2,2016,6694000,,
165,203400.000,165 - RM OF RITCHOT,420 MAIN ST,30,1.76,17,2027,5478900,,
165,87100.000,165 - RM OF RITCHOT,359 DUFAULT DR,12,1,12,2018,1112100,,
165,89600.000,165 - RM OF RITCHOT,503 MAIN ST,12,1.09,11,2023,466400,,
165,89500.000,165 - RM OF RITCHOT,483 MAIN ST,6,0.6,10,2027,1162600,,
165,82400.000,165 - RM OF RITCHOT,430 MAIN ST,4,0.59,6.8,2019,1100900,,
139,290400.000,139 - RM OF LAC DU BONNET,308 LEE RIVER RD,78,42.33,1.8,2024,6824400,,
139,278570.000,139 - RM OF LAC DU BONNET,NA,70,38.89,1.8,2024,7612300,,
139,304710.000,139 - RM OF LAC DU BONNET,NA,58,3.22,18,2024,2826300,,
